종목명,현재가,전일비,등락률,거래량,거래대금,market,code
KODEX 200타겟위클리커버드콜,"12,750",상승65,+0.51%,"2,924,307",,KOSPI,498400
이수스페셜티케미컬,"49,000",하락550,-1.11%,"113,413",,KOSPI,457190
KODEX 2차전지산업,"14,365",상승60,+0.42%,"2,085,989",,KOSPI,305720
KODEX 코스닥150레버리지,"10,565",하락85,-0.80%,"24,968,464",,KOSPI,233740
코스모신소재,"44,200",하락500,-1.12%,"223,566",,KOSPI,005070
대우건설,"3,430",하락10,-0.29%,"786,523",,KOSPI,047040
KODEX 미국AI전력핵심인프라,"17,485",상승675,+4.02%,"1,343,070",,KOSPI,487230
KODEX 반도체,"53,735",상승865,+1.64%,"1,540,766",,KOSPI,091160
LG화학우,"183,400","상승2,500",+1.38%,"21,820",,KOSPI,051915
SNT다이내믹스,"42,000",상승650,+1.57%,"58,777",,KOSPI,003570
한국카본,"26,600",하락600,-2.21%,"377,028",,KOSPI,017960
DN오토모티브,"23,450",하락400,-1.68%,"62,012",,KOSPI,007340
TIGER 미국30년국채커버드콜액티브(H),"7,970",상승25,+0.31%,"1,028,944",,KOSPI,476550
대신증권,"26,100",하락400,-1.51%,"179,778",,KOSPI,003540
RISE 미국S&P500,"21,400",상승140,+0.66%,"212,315",,KOSPI,379780
미래에셋증권2우B,"9,600",하락290,-2.93%,"386,593",,KOSPI,00680K
RISE CD금리액티브(합성),"105,215",상승10,+0.01%,"4,049",,KOSPI,477080
대웅,"22,600",하락300,-1.31%,"80,786",,KOSPI,003090
TIGER TOP10,"18,250",상승120,+0.66%,"834,367",,KOSPI,292150
하이트진로,"18,580",하락170,-0.91%,"218,332",,KOSPI,000080
메리츠 KIS CD금리투자 ETN,"54,560",상승10,+0.02%,1,,KOSPI,610063
HDC현대산업개발,"19,450",하락360,-1.82%,"231,662",,KOSPI,294870
한일시멘트,"17,360",하락470,-2.64%,"76,102",,KOSPI,300720
RISE 미국나스닥100,"27,025",상승400,+1.50%,"356,594",,KOSPI,368590
현대지에프홀딩스,"7,920",하락170,-2.10%,"167,599",,KOSPI,005440
지역난방공사,"105,900","상승3,500",+3.42%,"35,784",,KOSPI,071320
STX엔진,"30,500",하락250,-0.81%,"182,537",,KOSPI,077970
오리온홀딩스,"19,340",하락350,-1.78%,"106,064",,KOSPI,001800
RISE 단기특수은행채액티브,"50,530",보합0,0.00%,336,,KOSPI,0061Z0
엠앤씨솔루션,"130,000",상승700,+0.54%,"37,610",,KOSPI,484870
KB발해인프라,"9,700",상승120,+1.25%,"247,083",,KOSPI,415640
KIWOOM 200TR,"71,205",상승525,+0.74%,"35,754",,KOSPI,294400
KODEX 26-12 금융채(AA-이상)액티브,"10,000",보합0,0.00%,"77,533",,KOSPI,0117L0
LX인터내셔널,"30,500",보합0,0.00%,"40,602",,KOSPI,001120
SK케미칼,"68,300",하락700,-1.01%,"52,777",,KOSPI,285130
ACE 테슬라밸류체인액티브,"20,735",상승835,+4.20%,"961,418",,KOSPI,457480
SK오션플랜트,"18,760",상승50,+0.27%,"718,260",,KOSPI,100090
롯데렌탈,"32,250",하락750,-2.27%,"46,985",,KOSPI,089860
KODEX 코스닥150,"14,775",하락65,-0.44%,"5,417,368",,KOSPI,229200
가온전선,"69,700","상승3,600",+5.45%,"68,755",,KOSPI,000500
롯데리츠,"3,980",상승15,+0.38%,"619,833",,KOSPI,330590
종근당,"83,200","하락1,700",-2.00%,"61,909",,KOSPI,185750
롯데정밀화학,"44,250",상승100,+0.23%,"67,623",,KOSPI,004000
롯데웰푸드,"122,300",하락400,-0.33%,"11,569",,KOSPI,280360
PLUS K방산,"48,925",하락225,-0.46%,"798,240",,KOSPI,449450
TIGER 25-12 금융채(AA-이상),"51,825",하락10,-0.02%,964,,KOSPI,494900
영풍,"58,800","상승1,400",+2.44%,"30,075",,KOSPI,000670
삼성화재우,"361,000","상승4,500",+1.26%,"8,678",,KOSPI,000815
TIGER 차이나항셍테크,"9,095",보합0,0.00%,"1,105,879",,KOSPI,371160
더블유게임즈,"51,700",하락100,-0.19%,"30,843",,KOSPI,192080
롯데칠성,"119,700","하락2,700",-2.21%,"14,497",,KOSPI,005300
에스디바이오센서,"9,120",하락40,-0.44%,"118,387",,KOSPI,137310
NHN,"32,850",하락200,-0.61%,"84,153",,KOSPI,181710
SK디스커버리,"60,400",하락500,-0.82%,"18,009",,KOSPI,006120
ESR켄달스퀘어리츠,"4,450",상승10,+0.23%,"483,270",,KOSPI,365550
KODEX Top5PlusTR,"38,000",상승160,+0.42%,"70,516",,KOSPI,315930
코오롱인더,"39,450",하락250,-0.63%,"237,600",,KOSPI,120110
TIGER CD1년금리액티브(합성),"1,058,520",상승85,+0.01%,"26,184",,KOSPI,475630
하나 CD금리투자 ETN,"105,330",보합0,0.00%,0,,KOSPI,700026
TIGER 2차전지테마,"17,760",상승95,+0.54%,"624,011",,KOSPI,305540
TIGER 단기통안채,"111,670",상승20,+0.02%,"18,121",,KOSPI,157450
한샘,"45,550",상승350,+0.77%,"15,232",,KOSPI,009240
한화투자증권,"4,940",하락50,-1.00%,"1,701,563",,KOSPI,003530
LS에코에너지,"34,250",하락250,-0.72%,"72,644",,KOSPI,229640
교보증권,"9,110",상승10,+0.11%,"90,998",,KOSPI,030610
HDC,"17,310",하락130,-0.75%,"134,763",,KOSPI,012630
TIGER 종합채권(AA-이상)액티브,"55,915",상승135,+0.24%,"46,912",,KOSPI,451540
TIGER 리츠부동산인프라,"4,425",상승10,+0.23%,"4,275,179",,KOSPI,329200
세진중공업,"18,070",상승300,+1.69%,"452,138",,KOSPI,075580
동양생명,"6,330",하락220,-3.36%,"129,885",,KOSPI,082640
TIGER 미국나스닥100타겟데일리커버드콜,"10,790",상승150,+1.41%,"920,218",,KOSPI,486290
쿠쿠홀딩스,"28,600",상승50,+0.18%,"15,883",,KOSPI,192400
TIMEFOLIO 글로벌AI인공지능액티브,"34,520","상승1,080",+3.23%,"340,291",,KOSPI,456600
SOL 종합채권(AA-이상)액티브,"113,045",상승155,+0.14%,"2,718",,KOSPI,436140
NICE평가정보,"16,920",상승170,+1.01%,"74,629",,KOSPI,030190
ACE 미국빅테크TOP7 Plus,"23,245",상승630,+2.79%,"1,282,754",,KOSPI,465580
1Q 머니마켓액티브,"52,470",보합0,0.00%,"91,370",,KOSPI,479080
GS피앤엘,"50,200","하락1,900",-3.65%,"367,771",,KOSPI,499790
SK네트웍스,"4,455",하락50,-1.11%,"171,287",,KOSPI,001740
명인제약,"67,500","하락1,800",-2.60%,"69,681",,KOSPI,317450
TIMEFOLIO 미국나스닥100액티브,"34,585","상승1,265",+3.80%,"429,494",,KOSPI,426030
PLUS 200,"55,585",상승385,+0.70%,"393,900",,KOSPI,152100
키움 CD금리투자 ETN,"105,015",보합0,0.00%,0,,KOSPI,760009
세아베스틸지주,"26,900",상승550,+2.09%,"52,499",,KOSPI,001430
KODEX AI전력핵심설비,"22,730",상승430,+1.93%,"2,522,910",,KOSPI,487240
파미셀,"16,040",하락260,-1.60%,"3,644,345",,KOSPI,005690
효성티앤씨,"222,000","상승3,000",+1.37%,"11,550",,KOSPI,298020
SOL 초단기채권액티브,"53,890",상승5,+0.01%,"126,630",,KOSPI,469830
KODEX MSCI Korea TR,"18,660",상승95,+0.51%,"3,794",,KOSPI,278540
HANARO Fn K-반도체,"18,270",상승455,+2.55%,"1,379,180",,KOSPI,395270
CJ CGV,"5,540",하락10,-0.18%,"435,983",,KOSPI,079160
SNT홀딩스,"55,800","상승3,100",+5.88%,"31,198",,KOSPI,036530
일동제약,"28,750","하락1,150",-3.85%,"1,525,428",,KOSPI,249420
