code,name,naver_label
003580,HLB글로벌,화장품
196300,HLB펩,화장품
314130,지놈앤컴퍼니,화장품
388610,지에프씨생명과학,화장품
263920,휴엠앤씨,화장품
083660,CSA 코스믹,화장품
018290,브이티,화장품
006490,인스코비,화장품
159910,에코글로우,화장품
217730,강스템바이오텍,화장품
032860,더라미,화장품
214370,케어젠,화장품
005690,파미셀,화장품
489460,바이오비쥬,화장품
290650,엘앤씨바이오,화장품
090370,메타랩스,화장품
054300,팬스타엔터프라이즈,쿠팡(coupang)
006200,한국전자홀딩스,쿠팡(coupang)
086980,쇼박스,쿠팡(coupang)
092200,디아이씨,쿠팡(coupang)
236810,엔비티,쿠팡(coupang)
009070,KCTC,쿠팡(coupang)
297570,알로이스,쿠팡(coupang)
365550,ESR켄달스퀘어리츠,쿠팡(coupang)
094480,갤럭시아머니트리,쿠팡(coupang)
218150,미래생명자원,쿠팡(coupang)
189980,흥국에프엔비,쿠팡(coupang)
067170,오텍,쿠팡(coupang)
004140,동방,쿠팡(coupang)
004410,서울식품,쿠팡(coupang)
025770,한국정보통신,쿠팡(coupang)
160550,NEW,쿠팡(coupang)
006890,태경케미컬,쿠팡(coupang)
064260,다날,쿠팡(coupang)
321820,아티스트컴퍼니,쿠팡(coupang)
234340,헥토파이낸셜,쿠팡(coupang)
289010,아이스크림에듀,쿠팡(coupang)
035810,이지홀딩스,여름
284740,쿠쿠홈시스,여름
021240,코웨이,여름
044340,위닉스,여름
001550,조비,여름
051900,LG생활건강,여름
000080,하이트진로,여름
136480,하림,여름
005300,롯데칠성,여름
071840,롯데하이마트,여름
280360,롯데웰푸드,여름
043340,에쎈테크,여름
042110,에스씨디,여름
088910,동우팜투테이블,여름
001530,DI동일,여름
027740,마니커,여름
002700,신일전자,여름
037070,파세코,여름
067170,오텍,여름
025860,남해화학,여름
027710,팜스토리,여름
005180,빙그레,여름
267790,배럴,여름
276730,한울앤제주,여름
006890,태경케미컬,여름
060310,3S,여름
000890,보해양조,여름
093370,후성,여름
023530,롯데쇼핑,홈쇼핑
057050,현대홈쇼핑,홈쇼핑
007070,GS리테일,홈쇼핑
003240,태광산업,홈쇼핑
035760,CJ ENM,홈쇼핑
357120,코람코라이프인프라리츠,리츠(REITs)
348950,제이알글로벌리츠,리츠(REITs)
357250,미래에셋맵스리츠,리츠(REITs)
365550,ESR켄달스퀘어리츠,리츠(REITs)
481850,신한글로벌액티브리츠,리츠(REITs)
396690,미래에셋글로벌리츠,리츠(REITs)
338100,NH프라임리츠,리츠(REITs)
000030,대신밸류리츠,리츠(REITs)
350520,이지스레지던스리츠,리츠(REITs)
330590,롯데리츠,리츠(REITs)
432320,KB스타리츠,리츠(REITs)
377190,디앤디플랫폼리츠,리츠(REITs)
357430,마스턴프리미어리츠,리츠(REITs)
293940,신한알파리츠,리츠(REITs)
088260,이리츠코크렙,리츠(REITs)
400760,NH올원리츠,리츠(REITs)
448730,삼성FN리츠,리츠(REITs)
334890,이지스밸류플러스리츠,리츠(REITs)
451800,한화리츠,리츠(REITs)
417310,코람코더원리츠,리츠(REITs)
395400,SK리츠,리츠(REITs)
145270,케이탑리츠,리츠(REITs)
404990,신한서부티엔디리츠,리츠(REITs)
196700,웹스,4대강 복원
060560,HC홈센타,4대강 복원
043910,자연과환경,4대강 복원
010960,삼호개발,4대강 복원
003010,혜인,4대강 복원
026150,특수건설,4대강 복원
046940,우원개발,4대강 복원
101670,하이드로리튬,4대강 복원
195990,에이비프로바이오,공작기계
019210,와이지-원,공작기계
047400,유니온머티리얼,공작기계
010660,화천기계,공작기계
000850,화천기공,공작기계
100660,서암기계공업,공작기계
099440,스맥,공작기계
025890,한국주강,공작기계
089140,넥스턴앤롤코리아,공작기계
009160,SIMPAC,공작기계
003570,SNT다이내믹스,공작기계
101680,한국정밀기계,공작기계
129920,대성하이텍,공작기계
900300,오가닉티코스메틱,엔젤산업
403850,더핑크퐁컴퍼니,엔젤산업
900270,헝셩그룹,엔젤산업
215480,토박스코리아,엔젤산업
013990,아가방컴퍼니,엔젤산업
317530,캐리소프트,엔젤산업
092730,네오팜,엔젤산업
435570,에르코스,엔젤산업
267980,매일유업,엔젤산업
040420,정상제이엘에스,엔젤산업
014100,메디앙스,엔젤산업
002450,삼익악기,엔젤산업
005360,모나미,엔젤산업
462310,뉴키즈온,엔젤산업
019680,대교,엔젤산업
003920,남양유업,엔젤산업
036000,예림당,엔젤산업
048910,대원미디어,엔젤산업
159580,제로투세븐,엔젤산업
407400,꿈비,엔젤산업
095720,웅진씽크빅,엔젤산업
066910,손오공,엔젤산업
419530,SAMG엔터,엔젤산업
039830,오로라,엔젤산업
068290,삼성출판사,엔젤산업
035810,이지홀딩스,사료
179530,애드바이오텍,사료
006980,우성,사료
001790,대한제당,사료
353810,이지바이오,사료
005860,한일사료,사료
218150,미래생명자원,사료
368970,오에스피,사료
027710,팜스토리,사료
008040,사조동아원,사료
036580,팜스코,사료
025880,케이씨피드,사료
002140,고려산업,사료
060590,씨티씨바이오,사료
018620,우진비앤지,사료
003310,대주산업,사료
002680,한탑,사료
136490,선진,사료
003830,대한화섬,화학섬유
011300,성안머티리얼스,화학섬유
298020,효성티앤씨,화학섬유
003240,태광산업,화학섬유
079980,휴비스,화학섬유
120110,코오롱인더,화학섬유
058610,에스피지,공기청정기
284740,쿠쿠홈시스,공기청정기
021240,코웨이,공기청정기
044340,위닉스,공기청정기
068100,케이웨더,공기청정기
002700,신일전자,공기청정기
045520,크린앤사이언스,공기청정기
067170,오텍,공기청정기
352700,씨앤투스,공기청정기
066570,LG전자,공기청정기
005930,삼성전자,공기청정기
043260,성호전자,공기청정기
290720,푸드나무,음식료업종
260970,에스앤디,음식료업종
004370,농심,음식료업종
131100,티엔엔터테인먼트,음식료업종
002600,조흥,음식료업종
248170,샘표식품,음식료업종
239610,에이치엘사이언스,음식료업종
051900,LG생활건강,음식료업종
000080,하이트진로,음식료업종
005610,SPC삼립,음식료업종
001790,대한제당,음식료업종
026960,동서,음식료업종
005300,롯데칠성,음식료업종
007310,오뚜기,음식료업종
280360,롯데웰푸드,음식료업종
222980,한국맥널티,음식료업종
195500,마니커에프앤지,음식료업종
339770,교촌에프앤비,음식료업종
001680,대상,음식료업종
357230,에이치피오,음식료업종
097950,CJ제일제당,음식료업종
435570,에르코스,음식료업종
271560,오리온,음식료업종
031440,신세계푸드,음식료업종
267980,매일유업,음식료업종
453340,현대그린푸드,음식료업종
218150,미래생명자원,음식료업종
043650,국순당,음식료업종
189980,흥국에프엔비,음식료업종
