code,name,market,date,open,high,low,close,prev_close,change_pct,volume,avg_20d_volume,vol_sigma
140860,파크시스템스,KOSDAQ,2025-11-18,243000.0,246500.0,235000.0,237000.0,237000.0,0.0,23347.0,23347.0,-0.9694511113756302
000120,CJ대한통운,KOSPI,2025-11-18,93300.0,94000.0,91800.0,92000.0,92000.0,0.0,59822.0,59822.0,-0.10837749127178456
131970,두산테스나,KOSDAQ,2025-11-18,44950.0,46000.0,44000.0,44600.0,44600.0,0.0,123139.0,123139.0,-1.821622092496078
023160,태광,KOSDAQ,2025-11-18,23700.0,23900.0,22850.0,23100.0,23100.0,0.0,237712.0,237712.0,-0.9949405442879985
006280,녹십자,KOSPI,2025-11-18,139000.0,139000.0,133300.0,134000.0,134000.0,0.0,40905.0,40905.0,-0.37687643868694815
383220,F&F,KOSPI,2025-11-18,73900.0,75300.0,72500.0,72800.0,72800.0,0.0,74638.0,74638.0,-0.19421329272982582
382150,온코크로스,KOSDAQ,2025-11-18,12250.0,12250.0,11140.0,11150.0,11150.0,0.0,486132.0,486132.0,0.8631380123259977
033100,제룡전기,KOSDAQ,2025-11-18,35800.0,36350.0,34350.0,34400.0,34400.0,0.0,155948.0,155948.0,0.11361726587939133
160190,하이젠알앤엠,KOSDAQ,2025-11-18,48450.0,49200.0,46000.0,46700.0,46700.0,0.0,114395.0,114395.0,-1.32956811484876
009970,영원무역홀딩스,KOSPI,2025-11-18,162700.0,182000.0,162700.0,168700.0,168700.0,0.0,31536.0,31536.0,1.5524631841569465
000230,일동홀딩스,KOSPI,2025-11-18,14840.0,14950.0,14120.0,14360.0,14360.0,0.0,370004.0,370004.0,0.20132689338096468
098120,마이크로컨텍솔,KOSDAQ,2025-11-18,19110.0,19440.0,17500.0,18030.0,18030.0,0.0,293252.0,293252.0,1.0975897968743982
253590,네오셈,KOSDAQ,2025-11-18,10910.0,11020.0,10520.0,10550.0,10550.0,0.0,500049.0,500049.0,-0.6061606706666683
092460,한라IMS,KOSDAQ,2025-11-18,16900.0,17150.0,15680.0,15680.0,15680.0,0.0,334766.0,334766.0,-0.28511617733092137
028670,팬오션,KOSPI,2025-11-18,3690.0,3720.0,3640.0,3685.0,3685.0,0.0,1422506.0,1422506.0,-0.2902797078615116
006650,대한유화,KOSPI,2025-11-18,146000.0,148600.0,141600.0,142900.0,142900.0,0.0,36554.0,36554.0,-0.10835444065255229
263750,펄어비스,KOSDAQ,2025-11-18,38950.0,39650.0,38600.0,38700.0,38700.0,0.0,132882.0,132882.0,-0.6721607357253285
424760,벨로크,KOSDAQ,2025-11-18,1327.0,1550.0,1258.0,1379.0,1379.0,0.0,3717775.0,3717775.0,1.9019578568043534
017510,세명전기,KOSDAQ,2025-11-18,9980.0,10220.0,9440.0,9470.0,9470.0,0.0,526112.0,526112.0,-0.6443501107299558
456010,아이씨티케이,KOSDAQ,2025-11-18,16100.0,16240.0,15210.0,15510.0,15510.0,0.0,318693.0,318693.0,-1.4442996581747476
000500,가온전선,KOSPI,2025-11-18,73200.0,73700.0,67300.0,67500.0,67500.0,0.0,73143.0,73143.0,0.0821304158201895
347700,스피어,KOSDAQ,2025-11-18,8770.0,9240.0,8550.0,9070.0,9070.0,0.0,543230.0,543230.0,1.7527134952851693
448760,IBKS제22호스팩,KOSDAQ,2025-11-18,4450.0,4890.0,4210.0,4290.0,4290.0,0.0,1147444.0,1147444.0,0.44478324677694103
037270,YG PLUS,KOSPI,2025-11-18,6090.0,6270.0,5950.0,5990.0,5990.0,0.0,811422.0,811422.0,-0.9341691164832682
007070,GS리테일,KOSPI,2025-11-18,21900.0,22450.0,21500.0,21600.0,21600.0,0.0,223958.0,223958.0,0.24432459732441925
489460,바이오비쥬,KOSDAQ,2025-11-18,11800.0,12930.0,11800.0,12590.0,12590.0,0.0,380003.0,380003.0,1.7132120247121032
014620,성광벤드,KOSDAQ,2025-11-18,27350.0,27800.0,26600.0,27000.0,27000.0,0.0,176431.0,176431.0,-1.0263892488451982
00680K,미래에셋증권2우B,KOSPI,2025-11-18,10000.0,10030.0,9650.0,9650.0,9650.0,0.0,492357.0,492357.0,-0.7923453640887236
229640,LS에코에너지,KOSPI,2025-11-18,36700.0,37100.0,35500.0,35600.0,35600.0,0.0,132515.0,132515.0,-0.7955736803088237
014970,삼륭물산,KOSDAQ,2025-11-18,7890.0,7920.0,7300.0,7500.0,7500.0,0.0,625113.0,625113.0,1.704476208033923
476040,오가노이드사이언스,KOSDAQ,2025-11-18,33700.0,33750.0,31300.0,31900.0,31900.0,0.0,146828.0,146828.0,-0.935434877280844
139130,iM금융지주,KOSPI,2025-11-18,14140.0,14250.0,13960.0,13960.0,13960.0,0.0,332916.0,332916.0,-1.2684153774788767
327260,RF머트리얼즈,KOSDAQ,2025-11-18,17610.0,17610.0,15850.0,17100.0,17100.0,0.0,271288.0,271288.0,0.3384632419778241
088350,한화생명,KOSPI,2025-11-18,3070.0,3085.0,2995.0,3000.0,3000.0,0.0,1545688.0,1545688.0,0.5150455221755551
008930,한미사이언스,KOSPI,2025-11-18,40100.0,40300.0,38300.0,38550.0,38550.0,0.0,119595.0,119595.0,-0.2160298393134306
309710,아이티켐,KOSDAQ,2025-11-18,26800.0,28250.0,26400.0,27950.0,27950.0,0.0,163672.0,163672.0,-0.4991543621438276
348210,넥스틴,KOSDAQ,2025-11-18,63000.0,65100.0,62400.0,64400.0,64400.0,0.0,70869.0,70869.0,-0.4415360046318239
001390,KG케미칼,KOSPI,2025-11-18,5430.0,5490.0,5080.0,5080.0,5080.0,0.0,892566.0,892566.0,1.268151325427643
114090,GKL,KOSPI,2025-11-18,14050.0,14450.0,13980.0,14210.0,14210.0,0.0,317731.0,317731.0,0.1982694171290627
056080,유진로봇,KOSDAQ,2025-11-18,11700.0,11870.0,11120.0,11200.0,11200.0,0.0,396274.0,396274.0,-1.226565147246309
004490,세방전지,KOSPI,2025-11-18,58700.0,59500.0,57600.0,58100.0,58100.0,0.0,75865.0,75865.0,0.6971454923288347
241520,DSC인베스트먼트,KOSDAQ,2025-11-18,6800.0,6860.0,6330.0,6420.0,6420.0,0.0,686201.0,686201.0,0.21517761156255164
000815,삼성화재우,KOSPI,2025-11-18,358000.0,358500.0,348000.0,348500.0,348500.0,0.0,12603.0,12603.0,0.2501730578631092
085910,네오티스,KOSDAQ,2025-11-18,4850.0,5070.0,4715.0,4955.0,4955.0,0.0,883238.0,883238.0,1.1555764281492893
215100,로보로보,KOSDAQ,2025-11-18,7810.0,8050.0,7600.0,7630.0,7630.0,0.0,569195.0,569195.0,-1.3462175579940678
044490,태웅,KOSDAQ,2025-11-18,25050.0,25150.0,23350.0,23700.0,23700.0,0.0,182546.0,182546.0,-0.19390361005571452
084110,휴온스글로벌,KOSDAQ,2025-11-18,58700.0,59100.0,54100.0,55000.0,55000.0,0.0,78148.0,78148.0,-0.12744052484208274
