종목명,현재가,전일비,등락률,거래량,거래대금,market,code,name,close,volume,trading_value,change_rate,change,trade_date,listed_shares_x,market_cap,stock_kind,sector_name,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
에이치브이엠,"22,150",상승50,+0.23%,"20,428",,KOSDAQ,295310,에이치브이엠,22150,20428,452480200,0.23,50,2025-12-03,11901931.0,263627771650.0,보통주,기술성장기업부,11901931.0,주권,54,2624091983.3333335,2032452226.7894766,106769.42592592593,80598.60548856884,0.17243305603381445,-1.0684687958268408,0.19132818054273756,-1.0712521066902527,-0.47584998606900386,small,1502.0,1167.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
엠씨넥스,"27,000",상승400,+1.50%,"22,805",,KOSPI,097520,엠씨넥스,27000,22805,615735000,1.5,400,2025-12-03,17983482.0,485554014000.0,보통주,-,17983482.0,주권,54,1584710818.5185184,905001580.7810029,53818.0,28481.22363745618,0.388547230702713,-1.0706896419808536,0.4237429856181947,-1.0888928226810535,-0.4780708322230166,small,1503.0,1168.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
에이스침대,"31,150",상승300,+0.97%,"4,059",,KOSDAQ,003800,에이스침대,31150,4059,126437850,0.97,300,2025-12-03,11090000.0,345453500000.0,보통주,우량기업부,11090000.0,주권,54,441149555.0925926,293533068.39507616,15696.444444444445,10753.223761758158,0.2866099456304836,-1.0721507692925807,0.25859359515247615,-1.0822284277047087,-0.4795319595347437,small,1504.0,1169.0,False,boom_and_fade,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
금호석유화학,"119,500",상승200,+0.17%,"43,363",,KOSPI,011780,금호석유화학,119500,43363,5181878500,0.17,200,2025-12-03,26031742.0,3110793169000.0,보통주,-,26031742.0,주권,54,10024043662.037037,4512817509.520439,88745.27777777778,38694.45301791131,0.5169449250929304,-1.07298049429692,0.4886231818281411,-1.172836782491039,-0.4803616845390831,mid,1505.0,268.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
디어유,"32,500",하락100,-0.31%,"83,780",,KOSDAQ,376300,디어유,32500,83780,2722850000,-0.31,100,2025-12-03,23738406.0,771498195000.0,보통주,우량기업부,23738406.0,주권,54,6330584695.37037,3361890234.3282127,162537.77777777778,79388.41403674995,0.4301103501531623,-1.073126855401715,0.5154493997976539,-0.9920563187132037,-0.48050804564387806,small,1506.0,1170.0,False,boom_and_fade,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
LG생활건강,"276,500",상승500,+0.18%,"30,638",,KOSPI,051900,LG생활건강,276500,30638,8471407000,0.18,500,2025-12-03,15302459.0,4231129913500.0,보통주,-,15302459.0,주권,54,16665235481.481482,7629490981.816723,57976.22222222222,26057.50228018336,0.5083280706962396,-1.073967909656062,0.528458026853921,-1.0491497584176686,-0.48134909989822494,mid,1507.0,269.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
유아이엘,"3,150",상승15,+0.48%,"26,216",,KOSDAQ,049520,유아이엘,3150,26216,82580400,0.48,15,2025-12-03,32247404.0,101579322600.0,보통주,우량기업부,32247404.0,주권,54,238544861.8148148,145169775.1066719,76717.25925925926,48086.353899682166,0.3461839394558334,-1.0743590509815895,0.34172232237084127,-1.0502201802327344,-0.4817402412237525,small,1508.0,1171.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
DS단석,"19,840",하락50,-0.25%,"30,024",,KOSPI,017860,DS단석,19840,30024,595676160,-0.25,50,2025-12-03,17584212.0,348870766080.0,보통주,-,17584212.0,주권,54,1725307241.9444444,1049678487.6429924,83310.9074074074,47518.01902923736,0.3452580186985507,-1.076168650918037,0.3603849836033653,-1.1214042271968556,-0.48354984116020006,small,1509.0,1172.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
나우IB,"1,173",하락4,-0.34%,"202,330",,KOSDAQ,293580,나우IB,1173,202330,237333090,-0.34,4,2025-12-03,94929950.0,111352831350.0,보통주,벤처기업부,94929950.0,주권,54,425926957.2962963,174762582.35948113,363719.85185185185,150394.6691455904,0.557215470714851,-1.079143285422303,0.5562797822825789,-1.0731088593015057,-0.4865244756644661,small,1510.0,1173.0,False,boom_and_fade,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
웨이비스,"7,990",상승20,+0.25%,"10,672",,KOSDAQ,289930,웨이비스,7990,10672,85269280,0.25,20,2025-12-03,12519593.0,100031548070.0,보통주,기술성장기업부,12519593.0,주권,54,460265153.4259259,343690278.7629246,54340.7037037037,38008.57621177622,0.18526121164139586,-1.0910866457313904,0.19639053734360506,-1.1489171144004546,-0.4984678359735534,small,1511.0,1174.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
