code,name,sector
031430,신세계인터내셔날,소비/유통
065060,지엔코,소비/유통
335870,윙스풋,소비/유통
028260,삼성물산,소비/유통
472850,폰드그룹,소비/유통
000680,LS네트웍스,소비/유통
005320,온타이드,소비/유통
109670,씨싸이트,소비/유통
120110,코오롱인더,소비/유통
481070,에이유브랜즈,소비/유통
039980,폴라리스AI,소비/유통
278470,에이피알,소비/유통
347850,디앤디파마텍,제약/바이오
439580,블루엠텍,제약/바이오
196300,HLB펩,제약/바이오
214260,라파스,제약/바이오
456160,지투지바이오,제약/바이오
078140,대봉엘에스,제약/바이오
138610,나이벡,제약/바이오
226950,올릭스,제약/바이오
389470,인벤티지랩,제약/바이오
