code,name,abbr,name_eng,isin,market,market_type,security_group,sector_name,stock_kind,par_value,listed_shares,list_date,isu_cd,short_code,source_market
900110,이스트아시아홀딩스인베스트먼트리미티드,이스트아시아홀딩스,East Asia Holdings Investment Limited,HK0000057197,KOSDAQ,KOSDAQ,외국주권,외국기업(소속부없음),보통주,,431932050,2010-04-23,HK0000057197,900110,KOSDAQ
239340,이스트에이드,이스트에이드,ESTaid,KR7239340003,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,100.0,26979634,2016-06-09,KR7239340003,239340,KOSDAQ
067010,이씨에스텔레콤,이씨에스,"ECS TELECOM Co., Ltd.",KR7067010009,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,12294000,2007-12-18,KR7067010009,067010,KOSDAQ
418620,이에이트,이에이트,"E8IGHT Co., Ltd",KR7418620001,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,9650477,2024-02-23,KR7418620001,418620,KOSDAQ
102710,이엔에프테크놀로지,이엔에프테크놀로지,"ENF Technology Co., Ltd",KR7102710001,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,14287836,2009-05-28,KR7102710001,102710,KOSDAQ
041520,이엘씨,이엘씨,ELC,KR7041520008,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,12188730,2003-07-04,KR7041520008,041520,KOSDAQ
063760,이엘피,이엘피,ELP Corp.,KR7063760003,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,9325130,2017-04-06,KR7063760003,063760,KOSDAQ
123570,이엠넷,이엠넷,EMNET INC.,KR7123570004,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,22276078,2011-11-25,KR7123570004,123570,KOSDAQ
083470,이엠앤아이,이엠앤아이,"EMnI Co., Ltd.",KR7083470005,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,21340329,2008-09-18,KR7083470005,083470,KOSDAQ
095190,이엠코리아,이엠코리아,"EMKOREA Co., LTD.",KR7095190005,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,45319772,2007-10-29,KR7095190005,095190,KOSDAQ
091120,이엠텍,이엠텍,"EM-Tech. CO., LTD.",KR7091120006,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,17132936,2007-05-02,KR7091120006,091120,KOSDAQ
039030,이오테크닉스,이오테크닉스,"EO Technics Co., Ltd.",KR7039030002,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,12319550,2000-08-24,KR7039030002,039030,KOSDAQ
294090,이오플로우,이오플로우,"EOFlow Co., Ltd.",KR7294090006,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,100.0,30435659,2020-09-14,KR7294090006,294090,KOSDAQ
245620,이원다이애그노믹스,EDGC,"Eone Diagnomics Genome Center Co., Ltd.",KR7245620000,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,100.0,138493951,2018-06-26,KR7245620000,245620,KOSDAQ
088290,이원컴포텍,이원컴포텍,"EWON COMFORTECH CO., LTD",KR7088290002,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,31331669,2009-12-01,KR7088290002,088290,KOSDAQ
037370,이지,EG,EG CORPORATION,KR7037370004,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,1000.0,8624972,2000-01-11,KR7037370004,037370,KOSDAQ
353810,이지바이오,이지바이오,"EASY BIO, Inc.",KR7353810005,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,100.0,34191720,2020-06-05,KR7353810005,353810,KOSDAQ
099750,이지케어텍,이지케어텍,"ezCaretech Co., LTD",KR7099750002,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,6834776,2019-03-22,KR7099750002,099750,KOSDAQ
377330,이지트로닉스,이지트로닉스,"EGTRONICS Co., Ltd.",KR7377330006,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,8139954,2022-02-04,KR7377330006,377330,KOSDAQ
035810,이지홀딩스,이지홀딩스,"Easy Holdings Co., Ltd.",KR7035810001,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,65145845,1999-11-23,KR7035810001,035810,KOSDAQ
160600,이큐셀,이큐셀,"EQUIPMENTS CELL CO.,LTD",KR7160600003,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,500.0,34482552,2015-06-26,KR7160600003,160600,KOSDAQ
092130,이크레더블,이크레더블,"e-Credible Co., Ltd.",KR7092130004,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,12043600,2008-10-24,KR7092130004,092130,KOSDAQ
096040,이트론,이트론,"E-TRON CO.,LTD.",KR7096040001,KOSDAQ,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,200.0,906131295,2008-01-25,KR7096040001,096040,KOSDAQ
134060,이퓨쳐,이퓨쳐,"e-future.Co.,Ltd.",KR7134060003,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,4769250,2011-04-27,KR7134060003,134060,KOSDAQ
001840,이화공영,이화공영,EehwaConstruction,KR7001840008,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,19805760,1994-11-23,KR7001840008,001840,KOSDAQ
024810,이화전기공업,이화전기,"EHWA TECHNOLOGIES INFORMATION CO., LTD.",KR7024810004,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,200.0,218948640,1994-12-29,KR7024810004,024810,KOSDAQ
041830,인바디,인바디,"InBody Co., Ltd.",KR7041830001,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,13683782,2000-12-14,KR7041830001,041830,KOSDAQ
352940,인바이오,인바이오,"ENBIOCO., LTD.",KR7352940001,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,10867730,2020-12-11,KR7352940001,352940,KOSDAQ
079950,인베니아,인베니아,"INVENIA Co.,Ltd.",KR7079950002,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,23200000,2005-02-04,KR7079950002,079950,KOSDAQ
389470,인벤티지랩,인벤티지랩,Inventage Lab Inc.,KR7389470006,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,9590535,2022-11-22,KR7389470006,389470,KOSDAQ
277410,인산가,인산가,INSAN Inc.,KR7277410007,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,100.0,38356789,2017-09-29,KR7277410007,277410,KOSDAQ
060150,인선이엔티,인선이엔티,INSUN ENVIRONMENTAL NEW TECHNOLOGY CO.,KR7060150000,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,46563612,2002-06-14,KR7060150000,060150,KOSDAQ
033230,인성정보,인성정보,"INSUNG INFORMATION CO., LTD",KR7033230004,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,50515380,1999-07-30,KR7033230004,033230,KOSDAQ
450520,인스웨이브시스템즈,인스웨이브시스템즈,"Inswave Systems Co., Ltd.",KR7450520002,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,14704578,2023-09-25,KR7450520002,450520,KOSDAQ
037330,인지디스플레이,인지디스플레,INZI DISPLAY COMPANY LIMITED,KR7037330008,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,43885224,1999-12-14,KR7037330008,037330,KOSDAQ
100030,인지소프트,인지소프트,Inzisoft,KR7100030006,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,3283714,2010-05-25,KR7100030006,100030,KOSDAQ
211050,인카금융서비스,인카금융서비스,"INCAR FINANCIAL SERVICE Co.,Ltd.",KR7211050000,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,100.0,51379800,2022-02-16,KR7211050000,211050,KOSDAQ
083640,인콘,인콘,"INCON Co., Ltd.",KR7083640003,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,77720351,2005-12-27,KR7083640003,083640,KOSDAQ
216050,인크로스,인크로스,"Incross Co.,Ltd.",KR7216050005,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,12843222,2016-10-31,KR7216050005,216050,KOSDAQ
049070,인탑스,인탑스,"INTOPS CO., LTD.",KR7049070006,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,17200000,2002-02-21,KR7049070006,049070,KOSDAQ
119610,인터로조,인터로조,INTEROJO CO. LTD.,KR7119610004,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,500.0,13216478,2010-07-28,KR7119610004,119610,KOSDAQ
017250,인터엠,인터엠,IntermCorporation,KR7017250002,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,21045467,1996-01-03,KR7017250002,017250,KOSDAQ
051370,인터플렉스,인터플렉스,"INTERFLEX CO., LTD.",KR7051370005,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,23327472,2003-01-22,KR7051370005,051370,KOSDAQ
